,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.9691768132918863,4.0
1,SNX-USD,ICP-USD,0.6044238053811062,4.0
2,SNX-USD,ETC-USD,0.13141498959602213,4.0
3,SNX-USD,ZEC-USD,0.08270705812491833,4.0
4,SNX-USD,LINK-USD,0.3409825498297727,3.0
5,SNX-USD,MKR-USD,0.0019010921159216265,4.0
6,SNX-USD,ATOM-USD,0.29234916718266557,4.0
7,SNX-USD,BCH-USD,0.010483550458451805,5.0
8,SNX-USD,CELO-USD,4.822793859309511,4.0
9,SNX-USD,ENJ-USD,8.550180784901958,3.0
10,SNX-USD,RUNE-USD,1.3577963016334693,4.0
11,SNX-USD,FIL-USD,0.6252528416376881,4.0
12,SNX-USD,ZRX-USD,12.100933192798859,4.0
13,SNX-USD,TRX-USD,26.844729415850153,4.0
14,SNX-USD,YFI-USD,0.00037113931912283583,4.0
15,SNX-USD,COMP-USD,0.04969762390842116,4.0
16,SNX-USD,XLM-USD,17.10161643756693,4.0
17,SNX-USD,EOS-USD,3.50946238918322,4.0
18,SNX-USD,NEAR-USD,1.7736298039287766,4.0
19,SNX-USD,ALGO-USD,21.656069579161617,4.0
20,SNX-USD,XMR-USD,0.014512946237305759,4.0
21,SNX-USD,SUSHI-USD,3.519369655682146,4.0
22,SNX-USD,ADA-USD,7.9341489664654095,4.0
23,SNX-USD,UMA-USD,1.5214101746974245,3.0
24,SNX-USD,BTC-USD,7.896322958488609e-05,4.0
25,SNX-USD,DOT-USD,0.4699288982581384,4.0
26,SNX-USD,CRV-USD,4.53536372614942,5.0
27,SNX-USD,SOL-USD,0.10184741002621031,4.0
28,SNX-USD,DOGE-USD,32.495314596588855,4.0
29,SNX-USD,LTC-USD,0.031908492675353464,4.0
30,SNX-USD,AAVE-USD,0.03668527906500628,4.0
31,SNX-USD,UNI-USD,0.4547963366441644,4.0
32,SNX-USD,MATIC-USD,3.7288609819969616,4.0
33,SNX-USD,1INCH-USD,8.44432632645703,4.0
34,SNX-USD,AVAX-USD,0.20445251738635564,4.0
35,SNX-USD,ETH-USD,0.001250176394601604,4.0
36,XTZ-USD,ZEC-USD,0.02785688462745672,5.0
37,XTZ-USD,FIL-USD,0.21066567446258336,6.0
38,XTZ-USD,XMR-USD,0.004889078796482198,13.0
39,XTZ-USD,MATIC-USD,1.2557864206506966,7.0
40,XTZ-USD,AVAX-USD,0.06889329329947366,14.0
41,ICP-USD,ETC-USD,0.21726045716844644,15.0
42,ICP-USD,SOL-USD,0.16842866430616066,8.0
43,ETC-USD,ATOM-USD,2.2253440639025164,20.0
44,ETC-USD,YFI-USD,0.0028253258928298405,12.0
45,ETC-USD,COMP-USD,0.378336319307941,8.0
46,ETC-USD,NEAR-USD,13.501261128654784,7.0
47,ETC-USD,DOT-USD,3.5781864207171252,14.0
48,ETC-USD,CRV-USD,34.53960076714313,18.0
49,ETC-USD,SOL-USD,0.7750757546003889,13.0
50,ETC-USD,LTC-USD,0.2428546304839588,9.0
51,ETC-USD,AAVE-USD,0.2792006153757889,10.0
52,ETC-USD,UNI-USD,3.4615412208467617,17.0
53,ETC-USD,AVAX-USD,1.5559861502731644,9.0
54,ZEC-USD,CELO-USD,58.30585719277565,9.0
55,ZEC-USD,FIL-USD,7.561799071788113,6.0
56,ZEC-USD,EOS-USD,42.437153720419346,6.0
57,ZEC-USD,XMR-USD,0.17549393042537198,10.0
58,ZEC-USD,SUSHI-USD,42.55222398675642,6.0
59,ZEC-USD,BTC-USD,0.0009547712752954979,5.0
60,ZEC-USD,MATIC-USD,45.07596604320048,5.0
61,ZEC-USD,1INCH-USD,102.10269860380383,9.0
62,ZEC-USD,AVAX-USD,2.472947483062089,7.0
63,ZEC-USD,ETH-USD,0.015114864310233548,5.0
64,ATOM-USD,COMP-USD,0.16997713341157764,10.0
65,ATOM-USD,NEAR-USD,6.06541560895978,10.0
66,ATOM-USD,ADA-USD,27.117333974667467,18.0
67,ATOM-USD,SOL-USD,0.3482405626517558,12.0
68,ATOM-USD,UNI-USD,1.5553831380616852,8.0
69,CELO-USD,EOS-USD,0.7277110537504621,9.0
70,CELO-USD,DOGE-USD,6.735553944259808,9.0
71,FIL-USD,CRV-USD,7.256167264415364,7.0
72,ZRX-USD,XLM-USD,1.4125057425653103,10.0
73,YFI-USD,NEAR-USD,4777.975077416462,9.0
