,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.961319079332125,4.0
1,SNX-USD,ICP-USD,0.601886550109785,4.0
2,SNX-USD,ETC-USD,0.13103036243981914,4.0
3,SNX-USD,ZEC-USD,0.08247467641884634,4.0
4,SNX-USD,LINK-USD,0.3403159842392286,3.0
5,SNX-USD,MKR-USD,0.0018976562616978582,4.0
6,SNX-USD,ATOM-USD,0.29087230329226993,4.0
7,SNX-USD,BCH-USD,0.010467286093923011,5.0
8,SNX-USD,CELO-USD,4.813242525099426,4.0
9,SNX-USD,ENJ-USD,8.543921625298868,3.0
10,SNX-USD,RUNE-USD,1.3507122769101543,4.0
11,SNX-USD,FIL-USD,0.6227428528597929,4.0
12,SNX-USD,ZRX-USD,12.064347785397793,4.0
13,SNX-USD,TRX-USD,26.812675798123536,4.0
14,SNX-USD,YFI-USD,0.0003698279703109888,4.0
15,SNX-USD,COMP-USD,0.049435201243801435,4.0
16,SNX-USD,XLM-USD,17.059690350770474,4.0
17,SNX-USD,EOS-USD,3.5009622487818626,4.0
18,SNX-USD,NEAR-USD,1.7697334834383813,4.0
19,SNX-USD,ALGO-USD,21.599495298627872,4.0
20,SNX-USD,XMR-USD,0.014451267009114414,4.0
21,SNX-USD,SUSHI-USD,3.5127627013756677,4.0
22,SNX-USD,ADA-USD,7.908755404678975,4.0
23,SNX-USD,UMA-USD,1.5174240485302217,3.0
24,SNX-USD,BTC-USD,7.87569670686959e-05,4.0
25,SNX-USD,DOT-USD,0.46821740780018756,4.0
26,SNX-USD,CRV-USD,4.517098725504873,4.0
27,SNX-USD,SOL-USD,0.10138982059398151,4.0
28,SNX-USD,DOGE-USD,32.41750072188175,4.0
29,SNX-USD,LTC-USD,0.03177822611888256,4.0
30,SNX-USD,AAVE-USD,0.036606350719999216,4.0
31,SNX-USD,UNI-USD,0.4527293958543449,4.0
32,SNX-USD,MATIC-USD,3.7202228830972492,4.0
33,SNX-USD,1INCH-USD,8.423844630393614,4.0
34,SNX-USD,AVAX-USD,0.20375535710795512,4.0
35,SNX-USD,ETH-USD,0.001246298528120389,4.0
36,XTZ-USD,ZEC-USD,0.027852839637928763,5.0
37,XTZ-USD,FIL-USD,0.21036727783562498,7.0
38,XTZ-USD,MATIC-USD,1.2562085327556827,7.0
39,ICP-USD,NEAR-USD,2.939643934123553,9.0
40,ICP-USD,AAVE-USD,0.06079067099619895,13.0
41,ETC-USD,ATOM-USD,2.2204562564561736,24.0
42,ETC-USD,YFI-USD,0.002823486198013477,13.0
43,ETC-USD,COMP-USD,0.3773930932775643,12.0
44,ETC-USD,NEAR-USD,13.511219943253321,7.0
45,ETC-USD,DOT-USD,3.5754369026154826,14.0
46,ETC-USD,CRV-USD,34.49989231811037,16.0
